CHSI_County_Name;CHSI_State_Name;CHSI_State_Abbr;Strata_ID_Number;Strata_Determining_Factors;Number_Counties;Population_Size;Population_Density;Poverty;Age_19_Under;Age_19_64;Age_65_84;Age_85_and_Over;White;Black;Native_American;Asian;Hispanic
Autauga;Alabama;AL;29;frontier status, population size, poverty, age;37;48612;82;10.4;26.9;62.3;9.8;0.9;80.7;17.3;0.5;0.6;1.7
Baldwin;Alabama;AL;16;frontier status, population size, poverty, age;27;162586;102;10.2;23.5;60.3;14.5;1.8;88.4;9.9;0.5;0.4;2.3
Barbour;Alabama;AL;51;frontier status, population size, poverty, age, population density;33;28414;32;22.1;24.3;62.5;11.6;1.6;52.2;46.8;0.4;0.3;3.1
Bibb;Alabama;AL;42;frontier status, population size, poverty, age;53;21516;35;16.8;24.6;63.3;10.9;1.2;76.8;22.5;0.3;0.1;1.4
Blount;Alabama;AL;28;frontier status, population size, poverty, age;39;55725;86;11.9;24.5;62.1;12.1;1.3;97.1;1.5;0.5;0.2;6.3
Bullock;Alabama;AL;75;frontier status, population size, poverty, age, population density;37;11055;18;26.2;24.7;63.2;10;2.2;27.8;71.4;0.4;0.2;5.9
Butler;Alabama;AL;76;frontier status, population size, poverty, age, population density;38;20766;27;20;25.6;58.5;13.6;2.4;57.5;41.9;0.2;0.3;0.9
Calhoun;Alabama;AL;6;frontier status, population size, poverty;53;112141;184;16.4;24.1;61.6;12.7;1.5;78.3;19.7;0.4;0.8;2
Chambers;Alabama;AL;50;frontier status, population size, poverty, age, population density;27;35460;59;16.2;24.8;59.5;13.5;2.2;60.8;38.6;0.1;0.2;1.2
Cherokee;Alabama;AL;64;frontier status, population size, poverty, age, population density;41;24522;44;15.2;21.9;61.4;15.2;1.4;93.3;5.5;0.3;0.3;1.1
Chilton;Alabama;AL;32;frontier status, population size, poverty, age;37;41744;60;14.9;25;62.6;11.3;1.2;88.3;10.5;0.3;0.4;3.7
Choctaw;Alabama;AL;66;frontier status, population size, poverty, age, population density;37;14807;16;18.7;24.9;59.5;13.7;2;55.7;43.9;0.1;0.1;0.8
Clarke;Alabama;AL;51;frontier status, population size, poverty, age, population density;33;27269;22;19.2;27.3;58.5;12.4;1.8;55.8;43.7;0.2;0.2;0.7
Clay;Alabama;AL;63;frontier status, population size, poverty, age, population density;32;13964;23;14;22.4;60.3;14.9;2.5;84.2;15;0.3;0.1;2.1
Cleburne;Alabama;AL;41;frontier status, population size, poverty, age;47;14460;26;14;23.3;62.6;12.8;1.4;95.3;3.8;0.3;0.2;1.8
Coffee;Alabama;AL;32;frontier status, population size, poverty, age;37;45567;67;13.7;24.5;61.1;12.9;1.5;77.9;18.5;0.9;1.2;3.2
Colbert;Alabama;AL;21;frontier status, population size, poverty, age;44;54660;92;14;23;60.9;14;2;81.9;16.7;0.4;0.3;1.3
Conecuh;Alabama;AL;75;frontier status, population size, poverty, age, population density;37;13257;16;22;25.3;59.3;13.4;2.1;55.3;44.1;0.2;0.1;0.9
Coosa;Alabama;AL;41;frontier status, population size, poverty, age;47;11162;17;13.4;23.2;61.2;13.8;1.8;67.6;31.6;0.3;0.1;1.5
Covington;Alabama;AL;35;frontier status, population size, poverty, age;27;37003;36;17.5;23.4;58.7;15.5;2.5;86.1;12.6;0.5;0.3;0.9
Crenshaw;Alabama;AL;71;frontier status, population size, poverty, age, population density;33;13727;23;17.6;24.2;58.7;14.9;2.3;74.6;24.6;0.4;0.1;0.8
Cullman;Alabama;AL;21;frontier status, population size, poverty, age;44;79886;108;13.3;23.9;61.3;13.3;1.5;97.3;1.2;0.4;0.3;3.1
Dale;Alabama;AL;33;frontier status, population size, poverty, age;41;48748;87;15.8;27.7;59.4;11.8;1.2;75.5;20.9;0.5;1.3;3.2
Dallas;Alabama;AL;52;frontier status, population size, poverty, age, population density;40;44366;45;25;29;57.4;12.1;1.5;32.4;66.9;0.1;0.3;0.6
DeKalb;Alabama;AL;24;frontier status, population size, poverty, age;35;67271;86;15.1;25;61.2;12.3;1.6;96;1.8;0.8;0.3;8.8
Elmore;Alabama;AL;19;frontier status, population size, poverty, age;37;73937;119;12.5;25.1;64;9.8;1.2;77.3;20.7;0.4;0.5;1.7
Escambia;Alabama;AL;51;frontier status, population size, poverty, age, population density;33;38082;40;18.6;24.4;61.4;12.5;1.7;64.3;31.7;2.9;0.3;1
Etowah;Alabama;AL;6;frontier status, population size, poverty;53;103189;193;15.7;24;60.3;13.9;1.8;83.8;14.6;0.3;0.5;2.4
Fayette;Alabama;AL;63;frontier status, population size, poverty, age, population density;32;18228;29;16.1;23.5;60.4;13.6;2.4;87.4;11.8;0.2;0.3;0.9
Franklin;Alabama;AL;49;frontier status, population size, poverty, age, population density;35;30737;48;17.4;24.6;60.2;13.7;1.5;94.1;4.2;0.4;0.6;10.7
Geneva;Alabama;AL;64;frontier status, population size, poverty, age, population density;41;25735;45;17.6;22.9;59.9;15.1;2.1;87.8;10.8;0.7;0.2;2
Greene;Alabama;AL;75;frontier status, population size, poverty, age, population density;37;9661;15;24.9;28;57.9;12;2.1;19.9;79.7;0.1;0.2;0.7
Hale;Alabama;AL;76;frontier status, population size, poverty, age, population density;38;18316;28;20.6;26.8;60.6;10.9;1.7;40.3;59.2;0.1;0.2;0.9
Henry;Alabama;AL;63;frontier status, population size, poverty, age, population density;32;16610;30;16.3;23.7;60.4;13.9;2.1;67.6;31.7;0.2;0;2.1
Houston;Alabama;AL;23;frontier status, population size, poverty, age;37;94249;162;15.3;25.9;60.2;12.1;1.8;72.2;25.9;0.4;0.7;1.6
Jackson;Alabama;AL;22;frontier status, population size, poverty, age;28;53650;50;14.5;23.7;61.7;13.1;1.5;92.6;3.8;1.6;0.3;1.6
Jefferson;Alabama;AL;3;frontier status, population size, poverty;39;657229;591;14.4;25.2;61.4;11.7;1.7;56.8;41.2;0.2;1.1;2.3
Lamar;Alabama;AL;63;frontier status, population size, poverty, age, population density;32;14962;25;16.1;22.5;60.4;15.1;2.1;88.1;11.4;0.2;0.1;1.5
