temperature,sterol type,sterol conc,other phosph,tails,satur index,PC conc,ethanol conc,APL,thickness,bending,tilt,zorder,compress
298,chole,20,PE,PI,1.0,33,20,0.7369110000000001,3.628972686319642,10.0802,14.7578,0.175499,24.182184267941654
298,chole,20,PE,PI,1.0,50,20,0.7462260000000001,3.5969914082927836,10.1403,14.3075,0.172084,24.32494896133242
298,chole,20,PE,PI,1.0,25,20,0.7319450000000001,3.6526367497855006,10.2547,14.9777,0.178494,23.76606996379299
298,chole,20,PE,PI,1.0,100,20,0.7696299999999999,3.496051626819071,10.0232,13.2029,0.163349,22.96076856346825
298,chole,20,PE,PI,1.0,0,20,0.7195090000000001,3.71001820243157,10.4654,15.753,0.182191,23.10503229635444
298,chole,20,PE,PI,1.0,75,20,0.7600910000000001,3.538908232190682,9.86163,13.7148,0.166807,23.8604998172132
298,chole,20,PE,PI,1.0,67,20,0.755326,3.554782844116012,9.92156,13.8207,0.169264,24.207292442967997
298,chole,20,PE,DO,1.0,100,5,0.731297,3.7025326017073077,11.0954,15.596,0.209965,37.1422230990983
298,chole,20,PE,DO,1.0,50,5,0.716342,3.7490143480499967,11.2814,16.9091,0.222972,37.65010840167146
298,chole,20,PE,DO,1.0,33,5,0.70991,3.7710532795372487,11.6493,17.5899,0.227854,38.545548278305425
298,chole,20,PE,DO,1.0,67,5,0.721798,3.7281105078501895,11.2973,16.3898,0.217223,37.90988240016962
298,chole,20,PE,DO,1.0,25,5,0.706632,3.7828148235243475,11.575,17.8868,0.230101,38.34045816085826
298,chole,20,PE,DO,1.0,0,5,0.6969240000000001,3.8115440465247232,11.8928,18.935,0.237949,39.534365915470694
298,chole,20,PE,DO,1.0,75,5,0.724609,3.721428431900833,11.3428,15.9845,0.216173,37.75963504434152
298,chole,20,PE,DO,1.0,100,15,0.7507980000000001,3.5877582049018706,10.4462,14.2687,0.192574,29.084053786304565
298,chole,20,PE,DO,1.0,50,15,0.73087,3.6688964152824752,10.8471,15.6679,0.206606,31.50546623226205
298,chole,20,PE,DO,1.0,33,15,0.7224320000000001,3.6965476664184393,10.9008,16.0426,0.21229,31.39939557399479
298,chole,20,PE,DO,1.0,67,15,0.738345,3.6384682362966103,10.5391,15.2159,0.203075,32.236064040839956
298,chole,20,PE,DO,1.0,25,15,0.719589,3.7150424996264526,10.9412,16.4709,0.215075,32.32540912430294
298,chole,20,PE,DO,1.0,0,15,0.707928,3.7667889807621258,11.5102,17.6154,0.224587,32.53150143276287
