Cancer type;Period;Sex;Age range;Number
Digestive tract;1989;Male;45-59;1165
Digestive tract;1989;Male;75+;2162
Digestive tract;1989;Male;30-44;267
Digestive tract;1989;Male;15-29;31
Digestive tract;1989;Male;60-74;3147
Digestive tract;1989;Male;0-14;4
Digestive tract;1989;Male;All ages;6776
Digestive tract;1990;Male;45-59;1248
Digestive tract;1990;Male;75+;2184
Digestive tract;1990;Male;30-44;261
Digestive tract;1990;Male;0-14;3
Digestive tract;1990;Male;60-74;3099
Digestive tract;1990;Male;15-29;37
Digestive tract;1990;Male;All ages;6832
Digestive tract;1991;Male;45-59;1313
Digestive tract;1991;Male;75+;2301
Digestive tract;1991;Male;30-44;252
Digestive tract;1991;Male;60-74;3295
Digestive tract;1991;Male;15-29;37
Digestive tract;1991;Male;0-14;7
Digestive tract;1991;Male;All ages;7205
Digestive tract;1992;Male;45-59;1347
Digestive tract;1992;Male;75+;2312
Digestive tract;1992;Male;30-44;235
Digestive tract;1992;Male;15-29;33
Digestive tract;1992;Male;60-74;3351
Digestive tract;1992;Male;All ages;7286
Digestive tract;1992;Male;0-14;8
Digestive tract;1993;Male;45-59;1332
Digestive tract;1993;Male;75+;2215
Digestive tract;1993;Male;30-44;225
Digestive tract;1993;Male;15-29;25
Digestive tract;1993;Male;0-14;3
Digestive tract;1993;Male;60-74;3448
Digestive tract;1993;Male;All ages;7248
Digestive tract;1994;Male;45-59;1368
Digestive tract;1994;Male;75+;2283
Respiratory tract;1989;Male;0-14;0
Respiratory tract;1989;Male;30-44;129
Respiratory tract;1989;Male;45-59;1424
Respiratory tract;1989;Male;75+;1917
Respiratory tract;1989;Male;15-29;3
Respiratory tract;1989;Male;60-74;3980
Respiratory tract;1989;Male;All ages;7453
Respiratory tract;1990;Male;45-59;1243
Respiratory tract;1990;Male;30-44;171
Respiratory tract;1990;Male;0-14;2
Respiratory tract;1990;Male;75+;2037
Respiratory tract;1990;Male;60-74;4126
Respiratory tract;1990;Male;15-29;7
Respiratory tract;1990;Male;All ages;7586
Respiratory tract;1991;Male;0-14;1
Respiratory tract;1991;Male;45-59;1329
Respiratory tract;1991;Male;30-44;136
Respiratory tract;1991;Male;75+;2032
Respiratory tract;1991;Male;15-29;4
Respiratory tract;1991;Male;60-74;4245
Respiratory tract;1991;Male;All ages;7747
Respiratory tract;1992;Male;0-14;0
Respiratory tract;1992;Male;15-29;1
Respiratory tract;1992;Male;30-44;134
Respiratory tract;1992;Male;45-59;1360
Respiratory tract;1992;Male;75+;2097
Respiratory tract;1992;Male;60-74;4188
Respiratory tract;1992;Male;All ages;7780
Respiratory tract;1993;Male;45-59;1283
Respiratory tract;1993;Male;30-44;140
Respiratory tract;1993;Male;75+;1986
Respiratory tract;1993;Male;0-14;2
Respiratory tract;1993;Male;15-29;2
Respiratory tract;1993;Male;60-74;4077
Respiratory tract;1993;Male;All ages;7490
Respiratory tract;1994;Male;0-14;1
Respiratory tract;1994;Male;30-44;112
Digestive tract;1994;Male;30-44;242
Digestive tract;1994;Male;15-29;35
Digestive tract;1994;Male;60-74;3506
Digestive tract;1994;Male;0-14;5
Digestive tract;1994;Male;All ages;7439
Digestive tract;1995;Male;45-59;1407
