Fried Food Items,None,<2 servings/month,2-3 servings/month,≥1 serving/week,P for trend
Fried Chicken,,,,,
No of deaths/participants,19 788/68 709,6642/21 980,3188/10 268,1940/6009,—
Age adjusted model,1,1.14,1.26,1.38,<0.001
Multivariable model 1,1,1.06,1.12,1.13,<0.001
Multivariable model 2,1,1.06,1.11,1.12,<0.001
Fried fish/shellfish:,,,,,
No of deaths/participants,17 549/60 169,7292/24 958,4017/13 489,2700/8350,—
Age adjusted model,1,1.04,1.11,1.22,<0.001
Multivariable model 1,1,0.97,0.99,1.07,0.07
Multivariable model 2,1,0.97,0.99,1.07,0.1
Other fried foods:,,,,,
No of deaths/participants,6613/20 484,7166/22 699,5669/19 468,12 110/44 315,—
Age adjusted model,1,1.04,1.04,1.1,<0.001
Multivariable model 1,1,1.01,0.98,0.98,0.06
Multivariable model 2,1,1.01,0.98,0.98,0.05
