Fried Food Items,None,<2 servings/month,2-3 servings/month,≥1 serving/week,P for trend
Fried Chicken,,,,,
No of deaths/participants,5345/68 709,1721/21 980,794/10 268,498/6009,—
Age adjusted model,1.00 (ref),1.06,1.08,1.2,<0.001
Multivariable model 1,1.00 (ref),1.02,0.98,1.03,0.84
Multivariable model 2,1.00 (ref),1.01,0.98,1.03,0.99
Fried fish/shellfish:,,,,,
No of deaths/participants,4735/60 169,1837/24 958,1082/13 489,704/8350,—
Age adjusted model,1.00 (ref),0.95,1.07,1.13,0.004
Multivariable model 1,1.00 (ref),0.92,0.99,1.05,0.7
Multivariable model 2,1.00 (ref),0.92,0.99,1.05,0.8
Other fried foods:,,,,,
No of deaths/participants,1588/20 484,1859/22 699,1528/19 468,3373/44 315,—
Age adjusted model,1.00 (ref),1.1,1.09,1.13,<0.001
Multivariable model 1,1.00 (ref),1.09,1.05,1.04,0.94
Multivariable model 2,1.00 (ref),1.09,1.05,1.03,0.95
