"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DEATHCANCER","TOT","100000PER","A","1960",230.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1961",232.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1962",231,
"AUS","DEATHCANCER","TOT","100000PER","A","1963",236.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1964",238.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1965",233,
"AUS","DEATHCANCER","TOT","100000PER","A","1966",236.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1967",238.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1968",249.3,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1969",248,
"AUS","DEATHCANCER","TOT","100000PER","A","1970",253.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1971",252.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1972",253.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1973",258.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1974",262.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1975",253.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1976",256.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1977",255,
"AUS","DEATHCANCER","TOT","100000PER","A","1978",255.1,
"AUS","DEATHCANCER","TOT","100000PER","A","1979",253.2,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1980",259.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1981",256.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1982",260.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1983",263.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1984",266.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1985",268.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1986",261.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1987",264.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1988",263.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1989",267.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1990",261.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1991",262.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1992",261.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1993",261.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1994",265.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1995",256.1,
"AUS","DEATHCANCER","TOT","100000PER","A","1996",257,
"AUS","DEATHCANCER","TOT","100000PER","A","1997",248.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1998",247.7,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1999",241.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2000",240.5,
"AUS","DEATHCANCER","TOT","100000PER","A","2001",238.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2002",237.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2003",231,
"AUS","DEATHCANCER","TOT","100000PER","A","2004",230.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2006",229.4,
"AUS","DEATHCANCER","TOT","100000PER","A","2007",220.5,
"AUS","DEATHCANCER","TOT","100000PER","A","2008",226,
"AUS","DEATHCANCER","TOT","100000PER","A","2009",218.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2010",219.3,
"AUS","DEATHCANCER","TOT","100000PER","A","2011",216.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2012",209.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2013",209.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2014",204.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2015",207,
"AUS","DEATHCANCER","TOT","100000PER","A","2016",201.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2017",195.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2018",196,
"AUS","DEATHCANCER","TOT","100000PER","A","2019",198.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2020",188,
"AUT","DEATHCANCER","TOT","100000PER","A","1960",315.8,
"AUT","DEATHCANCER","TOT","100000PER","A","1961",320.7,
"AUT","DEATHCANCER","TOT","100000PER","A","1962",312.6,
"AUT","DEATHCANCER","TOT","100000PER","A","1963",314.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1964",314.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1965",318.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1966",317.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1967",316.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1968",317.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1969",310.1,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","1970",312.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1971",310.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1972",303.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1973",304.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1974",306.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1975",298.2,
"AUT","DEATHCANCER","TOT","100000PER","A","1976",298.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1977",296.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1978",293.2,
"AUT","DEATHCANCER","TOT","100000PER","A","1979",290.2,
"AUT","DEATHCANCER","TOT","100000PER","A","1980",296.1,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","1981",291.8,
"AUT","DEATHCANCER","TOT","100000PER","A","1982",290.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1983",284.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1984",291.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1985",283.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1986",280.5,
"AUT","DEATHCANCER","TOT","100000PER","A","1987",285.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1988",282.6,
"AUT","DEATHCANCER","TOT","100000PER","A","1989",281.2,
"AUT","DEATHCANCER","TOT","100000PER","A","1990",283.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1991",281.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1992",279.7,
"AUT","DEATHCANCER","TOT","100000PER","A","1993",280.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1994",270.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1995",268.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1996",261.8,
"AUT","DEATHCANCER","TOT","100000PER","A","1997",260.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1998",255,
"AUT","DEATHCANCER","TOT","100000PER","A","1999",252.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2000",249.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2001",242,
"AUT","DEATHCANCER","TOT","100000PER","A","2002",239.7,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","2003",245,
"AUT","DEATHCANCER","TOT","100000PER","A","2004",242.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2005",235.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2006",230.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2007",224.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2008",230.3,
"AUT","DEATHCANCER","TOT","100000PER","A","2009",224.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2010",221.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2011",220.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2012",219.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2013",214.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2014",214.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2015",208.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2016",203.7,
"AUT","DEATHCANCER","TOT","100000PER","A","2017",200.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2018",200.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2019",196.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2020",196.6,
"BEL","DEATHCANCER","TOT","100000PER","A","1960",295.4,
"BEL","DEATHCANCER","TOT","100000PER","A","1961",293.4,
"BEL","DEATHCANCER","TOT","100000PER","A","1962",299.8,
"BEL","DEATHCANCER","TOT","100000PER","A","1963",307.6,
"BEL","DEATHCANCER","TOT","100000PER","A","1964",296.9,
"BEL","DEATHCANCER","TOT","100000PER","A","1965",303.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1966",303.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1967",306.8,
"BEL","DEATHCANCER","TOT","100000PER","A","1968",309.1,"B"
"BEL","DEATHCANCER","TOT","100000PER","A","1969",308.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1970",306.5,
"BEL","DEATHCANCER","TOT","100000PER","A","1971",312.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1972",308.9,
"BEL","DEATHCANCER","TOT","100000PER","A","1973",309.9,
"BEL","DEATHCANCER","TOT","100000PER","A","1974",307.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1975",311.5,
"BEL","DEATHCANCER","TOT","100000PER","A","1976",310,
"BEL","DEATHCANCER","TOT","100000PER","A","1977",312.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1978",327.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1979",320.1,"B"
"BEL","DEATHCANCER","TOT","100000PER","A","1980",322.6,
"BEL","DEATHCANCER","TOT","100000PER","A","1981",327.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1982",320.8,
"BEL","DEATHCANCER","TOT","100000PER","A","1983",322.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1984",320.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1985",316.2,
"BEL","DEATHCANCER","TOT","100000PER","A","1986",312.1,
"BEL","DEATHCANCER","TOT","100000PER","A","1987",308.1,
"BEL","DEATHCANCER","TOT","100000PER","A","1988",311.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1989",309,
"BEL","DEATHCANCER","TOT","100000PER","A","1990",301.5,
"BEL","DEATHCANCER","TOT","100000PER","A","1991",299.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1992",300,
"BEL","DEATHCANCER","TOT","100000PER","A","1993",301.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1994",298.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1995",298.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1996",288.8,
"BEL","DEATHCANCER","TOT","100000PER","A","1997",290.1,
"BEL","DEATHCANCER","TOT","100000PER","A","1998",281.2,"B"
"BEL","DEATHCANCER","TOT","100000PER","A","1999",272.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2000",263.3,
"BEL","DEATHCANCER","TOT","100000PER","A","2001",259.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2002",257.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2003",250,
"BEL","DEATHCANCER","TOT","100000PER","A","2004",244.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2005",245.2,
"BEL","DEATHCANCER","TOT","100000PER","A","2006",239.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2007",239.3,
