"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1960",20.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1961",19.5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1962",20.4,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1963",19.5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1964",19.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1965",18.5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1966",18.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1967",18.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1968",17.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1969",17.9,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1970",17.9,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1971",17.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1972",16.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1973",16.5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1974",16.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1975",14.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1976",13.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1977",12.5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1978",12.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1979",11.4,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1980",10.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1981",10,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1982",10.3,
