AGE	GENDER	GROUP_SIZE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
25	1	2	17,15	20,00	21,53	72,20	89,85	78,03	182,96	22,74	77,54	92,94	81,40	184,60	57,03	21,65	15,20	61,86	7,03	2,08	62,05	65,51	71,48	71,33	84,41	88,54	118,00	125,35	0,00	3,80	4,70	4,00	4,75	16,41	0,29	22,81	0,36	1,09	17,25	1,59	433,02	2647,04	433,02	2647,04	 	0,00	 	0,00	1,47	2,99	29,28	18,53	19,25	22,70	27,28	26,43	17,85	26,57	0,97	2,23	0,57	2,30	2010,00	-0,67	0,33	1,07
25	2	4	17,20	19,96	22,27	64,91	91,80	75,34	170,67	23,14	67,64	95,72	76,91	170,93	53,23	11,96	18,50	71,20	9,36	9,78	65,06	66,08	73,55	72,36	84,43	86,38	114,26	118,43	0,00	4,23	4,66	4,24	4,55	13,43	0,34	19,68	1,14	1,14	19,47	2,06	361,67	2066,36	361,67	2066,36	0,00	0,00	 	1,41	6,34	11,27	28,25	19,58	20,91	23,33	26,44	27,01	20,21	26,35	1,01	3,30	0,66	3,37	2010,00	-0,67	1,40	1,87
26	1	3	17,89	21,06	22,15	74,92	91,49	79,89	183,78	23,16	79,90	94,79	83,14	185,60	46,94	5,41	18,83	78,38	1,65	4,50	63,69	65,98	71,45	69,39	85,82	88,75	120,23	125,79	0,73	3,94	4,73	4,05	4,66	14,40	0,42	24,41	0,00	0,34	17,70	1,71	543,63	3177,07	468,06	2799,21	 	0,00	 	0,00	0,00	4,23	29,41	18,50	19,33	22,63	26,96	26,70	17,96	26,16	1,00	2,32	0,51	2,46	2010,00	-0,66	0,41	2,11
26	2	5	18,08	21,07	22,57	65,84	92,87	76,39	170,78	23,22	67,81	94,99	76,51	170,93	42,86	7,42	16,80	74,71	8,61	9,30	65,37	66,18	74,94	71,95	84,39	86,09	114,18	117,08	0,37	4,40	4,53	4,31	4,50	14,52	0,29	19,81	0,00	0,19	19,57	2,05	397,15	2267,23	336,46	1963,82	0,00	0,00	 	3,81	7,73	13,33	28,62	19,48	21,42	23,99	25,79	26,95	20,49	26,63	1,12	3,43	0,81	3,72	2010,00	-0,69	1,60	3,20
27	1	3	18,74	21,84	22,57	75,66	92,13	80,82	182,94	23,19	78,56	94,28	82,91	183,83	37,11	7,75	19,93	73,64	5,52	5,43	64,04	66,94	70,97	68,19	86,32	89,83	121,34	127,41	1,32	3,91	4,75	4,06	4,71	19,72	0,43	24,41	0,34	0,34	17,65	1,60	617,32	3548,63	418,27	2553,39	 	0,00	 	1,08	2,17	2,15	29,10	18,56	19,18	23,26	27,46	26,81	18,38	26,37	1,03	2,51	0,79	2,41	2010,00	-0,86	1,11	1,76
27	2	6	18,70	21,84	23,02	67,25	93,49	77,68	170,95	23,23	68,44	96,05	77,27	171,59	36,82	3,79	17,58	74,23	9,51	8,56	65,52	66,27	75,65	72,10	84,67	86,12	114,67	117,42	0,16	4,37	4,54	4,35	4,51	13,77	0,37	22,02	0,00	0,17	20,39	2,24	448,12	2501,74	328,23	1902,28	0,01	0,00	 	2,02	5,71	9,72	28,76	19,53	21,23	23,98	25,82	26,98	20,39	26,61	1,25	3,57	0,83	3,62	2010,00	-0,79	1,82	3,66
28	1	3	19,47	22,80	22,94	77,45	92,91	82,28	183,71	23,75	80,43	94,80	84,52	184,04	31,10	6,25	26,35	78,91	6,47	8,59	65,13	67,31	71,90	69,98	87,11	89,87	121,83	126,47	0,29	4,04	4,78	4,20	4,71	13,31	0,57	27,97	0,61	0,61	18,06	1,70	628,63	3575,85	425,49	2560,18	 	0,29	 	2,30	1,15	1,14	29,39	18,95	18,88	23,46	27,88	27,24	17,88	26,35	1,27	2,82	0,65	2,81	2010,00	-0,92	1,09	3,11
28	2	6	19,55	22,85	23,35	67,91	93,93	78,79	170,46	23,84	69,40	96,60	78,56	170,61	23,21	4,70	20,66	82,45	11,36	10,03	66,02	67,41	76,33	72,27	85,04	87,32	115,11	118,79	0,00	4,43	4,55	4,33	4,54	14,29	0,60	26,27	0,16	0,47	20,35	2,19	451,64	2465,24	320,84	1811,26	0,02	0,15	 	0,75	6,08	10,19	28,51	19,75	21,10	24,05	25,50	27,03	20,33	26,58	1,14	3,50	0,74	3,10	2010,00	-0,92	2,01	2,37
29	1	3	20,47	23,75	23,10	78,00	93,39	82,57	183,63	23,71	79,89	95,40	84,20	183,35	18,93	5,19	30,96	80,74	4,04	6,67	65,24	67,66	71,46	68,39	87,34	89,64	122,28	125,72	0,54	4,13	4,80	4,31	4,86	14,59	0,78	26,44	0,29	0,57	18,75	1,85	658,43	3757,05	399,84	2464,08	 	0,80	 	0,00	1,03	4,12	29,38	18,80	19,18	23,41	27,53	27,52	18,09	26,73	1,16	2,97	0,81	2,54	2009,77	-0,83	1,16	1,77
29	2	7	20,43	23,82	23,19	67,41	93,51	78,16	170,47	23,56	68,62	96,25	77,88	170,61	14,83	3,22	27,47	84,21	10,94	9,36	66,54	67,55	75,03	72,48	85,23	86,69	115,14	116,87	0,41	4,41	4,55	4,28	4,55	12,07	0,63	24,67	0,00	0,00	20,33	2,22	503,77	2752,18	323,80	1852,33	0,04	0,14	100,00	1,00	5,39	14,00	28,73	19,55	21,23	24,18	25,41	27,53	20,14	26,81	1,15	3,58	0,83	3,65	2009,83	-0,97	1,83	3,77
