ZIPCODE	GENDER	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
7741	1	3	8	43,35	46,83	26,34	86,69	98,70	95,47	181,00	26,45	86,99	98,13	95,06	181,10	37,39	38,32	76,51	81,22	10,97	12,62	78,19	77,88	68,91	67,57	97,74	97,84	132,04	133,21	17,37	5,19	5,12	5,11	5,30	10,34	8,15	27,50	3,55	4,44	21,63	2,50	610,36	3289,20	276,51	1619,94	 	5,87	28,57	3,00	6,19	2,51	29,91	19,16	18,69	22,33	24,58	29,36	17,56	28,04	1,25	2,28	0,82	1,90	2010,00	-1,35	1,20	2,07
7741	2	4	8	42,85	46,45	26,19	74,33	101,16	89,40	168,24	26,24	74,70	100,91	88,09	168,63	38,05	33,67	70,66	76,27	10,76	13,47	73,44	73,40	72,28	70,14	92,57	93,72	124,85	127,98	12,56	5,07	4,93	5,06	4,95	10,30	7,17	26,71	2,41	3,51	24,79	3,18	437,24	2227,82	245,62	1269,70	2,00	9,17	43,75	3,79	10,77	7,12	29,10	18,93	20,74	22,62	21,57	28,57	19,13	27,67	1,24	2,58	0,74	1,94	2009,98	-1,35	2,91	1,56
7742	1	2	8	43,42	46,29	27,13	90,28	100,26	97,33	182,47	26,78	89,62	99,25	95,77	182,94	33,20	26,71	80,85	79,63	9,36	10,49	77,33	77,93	67,98	65,51	97,63	98,44	132,69	134,29	12,30	5,17	5,19	5,09	5,23	5,96	7,23	21,85	3,28	5,35	22,60	2,65	533,71	2961,50	307,23	1829,12	 	4,05	30,00	3,95	3,97	5,30	30,56	18,62	18,35	22,12	24,51	30,00	16,67	28,45	0,98	2,28	0,62	1,79	2009,98	-1,20	1,69	2,37
7742	2	3	7	41,56	44,83	26,01	74,44	101,26	89,04	168,67	26,18	75,17	101,22	87,82	169,26	27,86	23,50	75,00	74,54	13,17	12,84	72,71	73,17	71,32	70,17	91,64	92,91	123,18	125,43	11,82	4,91	4,94	4,93	5,04	11,61	5,09	17,27	3,46	4,03	24,45	3,09	455,48	2310,45	259,01	1328,09	1,85	7,63	41,01	1,90	6,34	7,55	29,41	18,86	20,47	22,62	21,96	28,87	19,00	28,36	1,06	2,59	0,75	2,17	2009,99	-1,20	2,06	2,48
7751	1	2	8	44,02	47,82	26,17	86,95	99,28	94,17	181,92	26,22	87,09	98,18	94,01	182,11	22,78	21,66	80,09	78,21	7,30	8,92	77,59	77,22	68,10	65,53	97,31	97,52	131,93	132,91	12,13	5,19	5,16	5,13	5,15	9,01	5,60	19,65	2,93	3,77	22,64	2,65	356,03	2052,39	294,55	1744,98	 	3,28	24,53	0,00	2,70	3,38	30,55	18,47	18,24	21,71	24,51	30,13	16,58	28,74	1,05	1,91	0,57	1,43	2009,98	-0,22	1,04	0,81
7751	2	3	8	44,91	48,19	25,88	75,20	100,90	88,57	170,33	25,76	74,27	100,28	87,02	169,82	19,26	22,05	77,00	79,79	9,28	16,41	72,95	72,37	70,90	69,60	92,37	93,21	124,84	127,09	9,03	5,11	4,85	5,22	4,88	10,31	5,91	19,93	2,38	3,06	25,56	3,32	305,43	1530,14	226,68	1136,38	2,20	8,64	27,97	4,26	6,52	5,29	29,32	18,85	19,99	22,60	21,60	28,83	18,82	28,17	0,98	2,43	0,54	1,97	2010,00	-0,23	1,33	1,63
7761	1	2	8	42,61	45,98	26,42	87,54	99,17	95,67	181,55	26,51	87,63	98,09	95,33	181,67	29,52	36,05	81,98	81,63	6,25	9,59	76,56	76,72	69,44	67,36	96,28	96,86	130,72	131,47	9,21	5,16	5,20	5,10	5,27	7,59	6,42	22,83	4,37	4,80	21,97	2,54	538,68	2853,04	240,09	1360,11	 	4,72	23,47	2,05	4,11	4,14	30,20	18,71	18,68	22,21	23,92	30,01	17,32	27,97	1,11	2,23	0,47	1,77	2009,97	-0,10	1,02	2,24
7761	2	3	7	41,62	44,70	26,88	76,70	102,43	90,06	168,90	26,96	77,15	102,38	88,87	169,31	33,77	29,17	71,86	77,60	9,00	11,98	73,45	71,94	72,54	69,74	92,67	91,81	124,77	124,19	10,26	4,92	4,95	4,86	5,02	8,97	5,23	20,67	3,55	4,84	23,83	2,99	397,53	2048,50	204,06	1081,15	1,98	3,46	39,16	3,43	8,52	2,79	29,47	18,53	20,22	22,83	21,79	28,55	18,56	27,85	1,16	2,38	0,82	2,08	2009,99	-0,11	1,70	1,68
7765	1	1	8	44,21	48,53	27,61	91,38	100,36	98,55	181,79	28,09	92,24	99,75	99,75	181,02	50,86	56,00	71,43	77,03	14,29	17,33	78,91	78,06	69,53	67,79	99,50	98,82	135,58	135,20	13,16	5,01	5,20	4,97	5,41	9,01	8,03	23,08	5,13	6,84	22,54	2,63	361,92	2007,42	262,83	1511,97	 	8,55	28,21	8,06	13,11	0,00	29,83	19,15	19,07	21,91	24,73	30,39	17,07	28,84	1,33	1,81	0,68	1,07	2009,97	-0,83	0,76	0,71
7765	2	1	8	43,76	47,04	27,08	77,11	103,36	91,48	168,67	27,48	77,94	103,80	90,85	168,38	44,59	43,88	64,79	70,00	20,83	20,00	73,35	72,27	72,88	69,54	92,83	92,99	126,23	127,33	9,59	4,88	4,86	4,80	4,93	9,86	6,73	21,38	2,03	3,38	24,44	3,10	289,97	1480,35	226,43	1162,63	2,10	10,74	34,92	10,42	13,98	4,17	28,66	19,66	21,16	22,74	21,59	28,64	19,72	27,83	1,28	2,36	0,57	1,83	2009,97	-0,83	3,67	2,89
