"X","Dilution","Content",".copy","Sample","Time","OD"
1,2,"Red",1,"Un_0001 1/1","0",0.465071
1,2,"Red",1,"Un_0001 1/1","10",0.347841
1,2,"Red",1,"Un_0001 1/1","20",0.299101
1,2,"Red",1,"Un_0001 1/1","30",0.295542
1,2,"Red",1,"Un_0001 1/1","40",0.290771
1,2,"Red",1,"Un_0001 1/1","50",0.286964
1,2,"Red",1,"Un_0001 1/1","60",0.286058
1,2,"Red",1,"Un_0001 1/1","70",0.283922
1,2,"Red",1,"Un_0001 1/1","80",0.281957
1,2,"Red",1,"Un_0001 1/1","90",0.283779
1,2,"Red",1,"Un_0001 1/1","100",0.28077
1,2,"Red",1,"Un_0001 1/1","110",0.281944
1,2,"Red",1,"Un_0001 1/1","120",0.279005
1,2,"Red",1,"Un_0001 1/1","130",0.276894
1,2,"Red",1,"Un_0001 1/1","140",0.275606
1,2,"Red",1,"Un_0001 1/1","150",0.275984
1,2,"Red",1,"Un_0001 1/1","160",0.27496
1,2,"Red",1,"Un_0001 1/1","170",0.273963
1,2,"Red",1,"Un_0001 1/1","180",0.27443
1,2,"Red",1,"Un_0001 1/1","190",0.272424
1,2,"Red",1,"Un_0001 1/1","200",0.272727
1,2,"Red",1,"Un_0001 1/1","210",0.273428
1,2,"Red",1,"Un_0001 1/1","220",0.271311
1,2,"Red",1,"Un_0001 1/1","230",0.270933
1,2,"Red",1,"Un_0001 1/1","240",0.272427
1,2,"Red",1,"Un_0001 1/1","250",0.270712
1,2,"Red",1,"Un_0001 1/1","260",0.270423
1,2,"Red",1,"Un_0001 1/1","270",0.271731
1,2,"Red",1,"Un_0001 1/1","280",0.270118
1,2,"Red",1,"Un_0001 1/1","290",0.270295
1,2,"Red",1,"Un_0001 1/1","300",0.271071
1,2,"Red",1,"Un_0001 1/1","310",0.269622
1,2,"Red",1,"Un_0001 1/1","320",0.269787
1,2,"Red",1,"Un_0001 1/1","330",0.271169
1,2,"Red",1,"Un_0001 1/1","340",0.269935
1,2,"Red",1,"Un_0001 1/1","350",0.269685
1,2,"Red",1,"Un_0001 1/1","360",0.270984
1,2,"Red",1,"Un_0001 1/1","370",0.26926
1,2,"Red",1,"Un_0001 1/1","380",0.269984
1,2,"Red",1,"Un_0001 1/1","390",0.270917
1,2,"Red",1,"Un_0001 1/1","400",0.270382
1,2,"Red",1,"Un_0001 1/1","410",0.269842
1,2,"Red",1,"Un_0001 1/1","420",0.271016
1,2,"Red",1,"Un_0001 1/1","430",0.270137
1,2,"Red",1,"Un_0001 1/1","440",0.269948
1,2,"Red",1,"Un_0001 1/1","450",0.271285
1,2,"Red",1,"Un_0001 1/1","460",0.270105
1,2,"Red",1,"Un_0001 1/1","470",0.269779
1,2,"Red",1,"Un_0001 1/1","480",0.271345
1,2,"Red",1,"Un_0001 1/1","490",0.270194
1,2,"Red",1,"Un_0001 1/1","500",0.270266
1,2,"Red",1,"Un_0001 1/1","510",0.27132
1,2,"Red",1,"Un_0001 1/1","520",0.270068
1,2,"Red",1,"Un_0001 1/1","530",0.270516
1,2,"Red",1,"Un_0001 1/1","540",0.271489
1,2,"Red",1,"Un_0001 1/1","550",0.270277
1,2,"Red",1,"Un_0001 1/1","560",0.270486
1,2,"Red",1,"Un_0001 1/1","570",0.272139
1,2,"Red",1,"Un_0001 1/1","580",0.270237
1,2,"Red",1,"Un_0001 1/1","590",0.270757
1,2,"Red",1,"Un_0001 1/1","600",0.272151
1,2,"Red",1,"Un_0001 1/1","610",0.271071
1,2,"Red",1,"Un_0001 1/1","620",0.271865
1,2,"Red",1,"Un_0001 1/1","630",0.272652
1,2,"Red",1,"Un_0001 1/1","640",0.271093
1,2,"Red",1,"Un_0001 1/1","650",0.270843
1,2,"Red",1,"Un_0001 1/1","660",0.272691
1,2,"Red",1,"Un_0001 1/1","670",0.27134
1,2,"Red",1,"Un_0001 1/1","680",0.271713
1,2,"Red",1,"Un_0001 1/1","690",0.272968
1,2,"Red",1,"Un_0001 1/1","700",0.271218
1,2,"Red",1,"Un_0001 1/1","710",0.272014
1,2,"Red",1,"Un_0001 1/1","720",0.272794
1,2,"Red",1,"Un_0001 1/1","730",0.272163
1,2,"Red",1,"Un_0001 1/1","740",0.271899
1,2,"Red",1,"Un_0001 1/1","750",0.273398
1,2,"Red",1,"Un_0001 1/1","760",0.27238
1,2,"Red",1,"Un_0001 1/1","770",0.272181
1,2,"Red",1,"Un_0001 1/1","780",0.27391
1,2,"Red",1,"Un_0001 1/1","790",0.272658
1,2,"Red",1,"Un_0001 1/1","800",0.272945
1,2,"Red",1,"Un_0001 1/1","810",0.274272
1,2,"Red",1,"Un_0001 1/1","820",0.272686
1,2,"Red",1,"Un_0001 1/1","830",0.273078
1,2,"Red",1,"Un_0001 1/1","840",0.274592
1,2,"Red",1,"Un_0001 1/1","850",0.272818
1,2,"Red",1,"Un_0001 1/1","860",0.272476
1,2,"Red",1,"Un_0001 1/1","870",0.274517
1,2,"Red",1,"Un_0001 1/1","880",0.273667
1,2,"Red",1,"Un_0001 1/1","890",0.27308
1,2,"Red",1,"Un_0001 1/1","900",0.274696
1,2,"Red",1,"Un_0001 1/1","910",0.273562
1,2,"Red",1,"Un_0001 1/1","920",0.273823
1,2,"Red",1,"Un_0001 1/1","930",0.274735
1,2,"Red",1,"Un_0001 1/1","940",0.273981
1,2,"Red",1,"Un_0001 1/1","950",0.273835
1,2,"Red",1,"Un_0001 1/1","960",0.275171
1,2,"Red",1,"Un_0001 1/1","970",0.273495
1,2,"Red",1,"Un_0001 1/1","980",0.273752
1,2,"Red",1,"Un_0001 1/1","990",0.275188
1,2,"Red",1,"Un_0001 1/1","1000",0.273989
1,2,"Red",1,"Un_0001 1/1","1010",0.274565
1,2,"Red",1,"Un_0001 1/1","1020",0.275551
1,2,"Red",1,"Un_0001 1/1","1030",0.274339
1,2,"Red",1,"Un_0001 1/1","1040",0.274464
1,2,"Red",1,"Un_0001 1/1","1050",0.275333
1,2,"Red",1,"Un_0001 1/1","1060",0.273796
1,2,"Red",1,"Un_0001 1/1","1070",0.273806
1,2,"Red",1,"Un_0001 1/1","1080",0.276006
2,1,"Red",1,"Un_0002 1/1","0",0.320854
2,1,"Red",1,"Un_0002 1/1","10",0.26725
2,1,"Red",1,"Un_0002 1/1","20",0.233894
2,1,"Red",1,"Un_0002 1/1","30",0.229844
2,1,"Red",1,"Un_0002 1/1","40",0.225838
2,1,"Red",1,"Un_0002 1/1","50",0.219993
2,1,"Red",1,"Un_0002 1/1","60",0.217286
2,1,"Red",1,"Un_0002 1/1","70",0.214701
2,1,"Red",1,"Un_0002 1/1","80",0.212945
2,1,"Red",1,"Un_0002 1/1","90",0.213346
2,1,"Red",1,"Un_0002 1/1","100",0.212257
2,1,"Red",1,"Un_0002 1/1","110",0.211348
2,1,"Red",1,"Un_0002 1/1","120",0.212203
2,1,"Red",1,"Un_0002 1/1","130",0.2111
2,1,"Red",1,"Un_0002 1/1","140",0.210444
2,1,"Red",1,"Un_0002 1/1","150",0.21134
2,1,"Red",1,"Un_0002 1/1","160",0.210617
2,1,"Red",1,"Un_0002 1/1","170",0.210079
2,1,"Red",1,"Un_0002 1/1","180",0.211017
2,1,"Red",1,"Un_0002 1/1","190",0.210161
2,1,"Red",1,"Un_0002 1/1","200",0.209902
2,1,"Red",1,"Un_0002 1/1","210",0.211547
2,1,"Red",1,"Un_0002 1/1","220",0.210019
2,1,"Red",1,"Un_0002 1/1","230",0.210775
2,1,"Red",1,"Un_0002 1/1","240",0.211391
2,1,"Red",1,"Un_0002 1/1","250",0.211086
2,1,"Red",1,"Un_0002 1/1","260",0.210723
2,1,"Red",1,"Un_0002 1/1","270",0.211612
2,1,"Red",1,"Un_0002 1/1","280",0.210717
2,1,"Red",1,"Un_0002 1/1","290",0.211144
2,1,"Red",1,"Un_0002 1/1","300",0.211971
2,1,"Red",1,"Un_0002 1/1","310",0.211314
2,1,"Red",1,"Un_0002 1/1","320",0.211732
2,1,"Red",1,"Un_0002 1/1","330",0.213136
2,1,"Red",1,"Un_0002 1/1","340",0.212305
2,1,"Red",1,"Un_0002 1/1","350",0.212211
2,1,"Red",1,"Un_0002 1/1","360",0.213518
2,1,"Red",1,"Un_0002 1/1","370",0.212341
2,1,"Red",1,"Un_0002 1/1","380",0.212686
2,1,"Red",1,"Un_0002 1/1","390",0.213383
2,1,"Red",1,"Un_0002 1/1","400",0.213109
2,1,"Red",1,"Un_0002 1/1","410",0.213141
2,1,"Red",1,"Un_0002 1/1","420",0.21361
2,1,"Red",1,"Un_0002 1/1","430",0.213271
2,1,"Red",1,"Un_0002 1/1","440",0.213522
2,1,"Red",1,"Un_0002 1/1","450",0.214229
2,1,"Red",1,"Un_0002 1/1","460",0.2136
2,1,"Red",1,"Un_0002 1/1","470",0.213755
2,1,"Red",1,"Un_0002 1/1","480",0.215003
2,1,"Red",1,"Un_0002 1/1","490",0.213655
2,1,"Red",1,"Un_0002 1/1","500",0.21436
2,1,"Red",1,"Un_0002 1/1","510",0.214643
2,1,"Red",1,"Un_0002 1/1","520",0.214222
2,1,"Red",1,"Un_0002 1/1","530",0.214335
2,1,"Red",1,"Un_0002 1/1","540",0.215184
2,1,"Red",1,"Un_0002 1/1","550",0.214438
2,1,"Red",1,"Un_0002 1/1","560",0.214937
2,1,"Red",1,"Un_0002 1/1","570",0.215922
2,1,"Red",1,"Un_0002 1/1","580",0.215223
2,1,"Red",1,"Un_0002 1/1","590",0.215696
2,1,"Red",1,"Un_0002 1/1","600",0.216093
2,1,"Red",1,"Un_0002 1/1","610",0.215485
2,1,"Red",1,"Un_0002 1/1","620",0.215406
2,1,"Red",1,"Un_0002 1/1","630",0.216576
2,1,"Red",1,"Un_0002 1/1","640",0.216222
2,1,"Red",1,"Un_0002 1/1","650",0.215525
2,1,"Red",1,"Un_0002 1/1","660",0.217162
2,1,"Red",1,"Un_0002 1/1","670",0.216117
2,1,"Red",1,"Un_0002 1/1","680",0.216358
2,1,"Red",1,"Un_0002 1/1","690",0.216976
2,1,"Red",1,"Un_0002 1/1","700",0.21634
2,1,"Red",1,"Un_0002 1/1","710",0.21617
2,1,"Red",1,"Un_0002 1/1","720",0.216987
2,1,"Red",1,"Un_0002 1/1","730",0.216222
2,1,"Red",1,"Un_0002 1/1","740",0.216573
2,1,"Red",1,"Un_0002 1/1","750",0.217504
2,1,"Red",1,"Un_0002 1/1","760",0.216898
2,1,"Red",1,"Un_0002 1/1","770",0.216867
2,1,"Red",1,"Un_0002 1/1","780",0.218162
2,1,"Red",1,"Un_0002 1/1","790",0.217063
2,1,"Red",1,"Un_0002 1/1","800",0.217233
2,1,"Red",1,"Un_0002 1/1","810",0.21801
2,1,"Red",1,"Un_0002 1/1","820",0.217021
